id,title,priority,resolution,category,noteFile,attachedSessions
task_t1,CustomerPortrait: silent rejection loop,critical,open,backend,Task-001.md,0026a01371494a708d856f6326fe2be2|01ca66ea446e44bea4af736e42e6d3f8|081db26126f54b92bbf790377b1b5f57|369dd5b45b0642528fba86df54dcc267|36e9a6ea73854476bb32968101aae55d|3d9d82883735430f9bfe03470d7d29ea|65523ad2a297413bb776da49764a9555|686afcbbe1b1401ca4adca049ec02077|6bca66483f124c92aa58b7c5a46cf47d|7c95f61c1a0447b4ae25afe64992275a|da49e5c893b54e6e94fb64e738e4a050|e1c9aff841374359b93613e63ea9162b|e3184ca9b4a54ba5b35df7ef29d1228b|f00f625d960a4d6b8ffd4317c6002915
task_t2,CustomerPortrait: integrity check abort,high,open,backend,Task-002.md,7c95f61c1a0447b4ae25afe64992275a|f00f625d960a4d6b8ffd4317c6002915
task_t3,Consent timer expired at voice-liveness-check,high,open,ios,Task-003.md,3cc573bc657647d988dfc203730e24fb|af7adfbbc65f4fc6afa9d2dcd59d7ff1|a5bb2495cdfc4234a80fd6ff844aa07d|cf9ed4271cbd450d8e8e4398efa598b3|398b5de1c5f54daa83bbeec0ae5d0ad0|0b15a688bc234caa8334eef90c6370de|4c1b5aabca884971a8eccf24c4467261|09e010a133e84d389004c1e00d8bd4a2|f80eea1e0f1542d5b59a5f6d78fa8a95|60207f55a2d54af4b9be02d0d764ecf2|799b7fc864d24ba284d472d958f6d4aa|86f635e26f0a42558400197d246e59e1|ece0959c521f4d1388971c0f120c271d|e1a25d8a903642369caed88985cccdf7|7b20ea8a605e484987e888f7b0865299|6ed57167178442218855fd791450a3e8|53a1fd6e6c8f48fcbde048c4d25d6c23|637ffe088dcd47e4a4bff9b4225fefb1|ff748b4f5b3c4be9b97c7cc11ac23c85|d25474e9ce5e4da691b6279ed7f5b32a
task_t4,twoFactor background: 44% abandonment,medium,open,ios,Task-004.md,06acfcb2dd14490aa6278ca3498925d6|f805da77bb7a4eff90df03c5561abb24|e7d1282d65924bd38e7d2123b475bb81|e4a8c6156a994e50a99c89cf0ab6dbe4|154e956da14e4e72b4446e91bb1e21ea|af7adfbbc65f4fc6afa9d2dcd59d7ff1|62ff675ee30a4649b10222ccda2ec186|2a1dfd2da0f04c9bb3b18e09b5cc90e2|27b32b0973554fccac7370927165a4cd|d855ffeb23df42229ac62154598cb684|fbde568287364955a65ab50852e675ae|3f5e5a5e52d9451fb93bcc332120c133|3ad863ca05a846b9bf9bae40d831db6d|bec4135e944c4561b428b3917f569783|3a9de29b82a54e7cb2c3d65c234467ee
task_t5,Hard fail: face-detection-error + photo limit,medium,open,backend,Task-005.md,a6199c3bc3394564ad8dd4800eb5dbd2|b925430ec0b54c98ba8dbcca26bd63b3|6b32fadd48d24f6f8cca0321523cdc6f|b016119a97264307ba5e8eca9cfcb316|46bfd18f6b5744b8a26c3a88fdc5aa79|92b09562685541498d6b4875a0d88f69|cee4a5d0ef954359a7f407964d2bf4e9|902291c91eba449195e4ec5a97fd3066
task_t6,invalidToken on FaceKom session start,low,wont-fix,user-error,Task-006.md,21177932b7d94921a3f2dcbeb3d080f0|d4770950c1b947b1a30818e9d36ba7d5
task_t7,FaceKom session b2df7150 — 4 Firebase sessions May 28,medium,open,ios,,3d9d82883735430f9bfe03470d7d29ea|081db26126f54b92bbf790377b1b5f57|369dd5b45b0642528fba86df54dcc267|e1c9aff841374359b93613e63ea9162b
task_t8,selfService.stop() throws on close (timeOut/networkError),medium,open,ios,,0075d9f2420d483c955182d4f4bea7bf|01e1702142aa48a0a42b781e14e8f64c|05dd8149937448f3b80e5259d65e6f0e|154e956da14e4e72b4446e91bb1e21ea|19013e43639d4a138a1524ddc0af2eb8|21177932b7d94921a3f2dcbeb3d080f0|36e9a6ea73854476bb32968101aae55d|3c2ce7775397402f9ee18fa9a3a1a5d8|48ed1265440242e6a05f25e9c15e92de|51afeacc5e6a4019ab0513fc5d68c3b5|53a1fd6e6c8f48fcbde048c4d25d6c23|60207f55a2d54af4b9be02d0d764ecf2|88dcaab05c9044b3919b6b3bfc21af0a|9167f2a6766b48cc8fbd7a73730982ad|9c0a89f6ae4f4139b1692ac3dfd2ce08|a1195612d27e43ee98fef89e598e1386|c1e392ca75b8435ca814f65980b55eab|d4770950c1b947b1a30818e9d36ba7d5|e1a25d8a903642369caed88985cccdf7|e277a0ddc9484d2e88991ad45cf1f928|f00f625d960a4d6b8ffd4317c6002915|fbde568287364955a65ab50852e675ae
task_t9,Deepfake-detection: lemorzsolódás (elakadás a face/card detectionnél),high,open,ios,Task-009.md,0582c72ce0f343cbab7610722981a33c|1d83d8ffa92546d480ab456184cdb946|26c1cd55ca284da0bf5b624ded581681|3c7084e3e3664c668b9e466820919c61|4d7d1979a37c4095a13195e600d20b3e|7d863731a94b4456bfea718e9dba9120|923b291f5e67432d84abc611af7ae45c|9ee654103e7d48bb8a5e425421a3936f|e15c6fb0bc2243b5bf630d45da35e6dd|f222d86588274a32a36782d7fa51b887
task_t10,WebRTC media nem indul el -> befagyott voice-liveness (nincs timeout/Tovabb),high,open,ios,,0cfb4750c4d942468d655299a6fbcfb3|89df56977ff44a519225f8eac49480ec|94c3f3c81d5e450682aeb9043ef1fc28|923b291f5e67432d84abc611af7ae45c
