session_id,filename,display_version,outcome,reason,last_step,steps_count,total_duration_s,dur_start__voice_liveness_check,dur_voice_liveness_check__deepfake_detection,dur_deepfake_detection__customerPortrait,dur_customerPortrait__idFront,dur_idFront__idBack,dur_idBack__hologram,dur_hologram__id_back_video,dur_id_back_video__twoFactor,dur_twoFactor__end
ac896a3c8873413f82d5f3f783f9d44f_DNE_0_v2,0087be59-0972-4fa2-8b14-a9646f887dfe_Feb_23__2026__3_26_35_PM.log,3.6.1,reject,no-more-photo-candidate-allowed,end,5,69,20,23,26,,,,,,
55de54e16dfe419c9927a7d808f3e075_DNE_0_v2,0087be59-0972-4fa2-8b14-a9646f887dfe_Feb_24__2026__1_17_05_PM.log,3.6.1,reject,no-more-photo-candidate-allowed,end,6,105,33,19,14,39,,,,,
21d9405042a144cebc80ecc2a1bab4ea_DNE_0_v2,0087be59-0972-4fa2-8b14-a9646f887dfe_Feb_26__2026__4_30_30_PM.log,3.6.1,approve,,end,10,200,39,17,8,26,16,13,46,13,22
9133d90065914e17aead05e8f86ed40f_DNE_0_v2,00a3c71f-bfa4-44d0-9013-b6112997ca29_Feb_12__2026__3_22_42_PM.log,3.6.1,aborted,,end,9,188,25,23,27,28,24,13,48,,
9133d90065914e17aead05e8f86ed40f_DNE_1_v2,00a3c71f-bfa4-44d0-9013-b6112997ca29_Feb_12__2026__3_26_45_PM.log,3.6.1,approve,,end,10,349,25,23,27,28,24,13,48,161,
4002fdc08e4c409db82687ad6f5e5d75_DNE_0_v2,00b1af6d-5b93-4373-9ba4-204432cff16d_Feb_17__2026__5_40_43_PM.log,3.6.1,unknown,,voice-liveness-check,2,57,57,,,,,,,,
4002fdc08e4c409db82687ad6f5e5d75_DNE_1_v2,00b1af6d-5b93-4373-9ba4-204432cff16d_Feb_17__2026__5_42_38_PM.log,3.6.1,aborted,,end,3,57,57,,,,,,,,
ad8b347764f84c4ca5c1ef33d78858f3_DNE_0_v2,00c4e603-246c-4712-af94-cd6c5881861f_Feb_17__2026__11_53_10_AM.log,3.6.1,approve,,end,10,258,28,18,11,19,39,61,52,14,16
3d53aa4d1bfd47bfac6c7e7560bb2165_DNE_0_v2,00c703e1-7e3f-4c39-8987-c1ee5fb943c8-1771922654_Feb_24__2026__10_00_26_AM.log,3.6.1,aborted,,end,3,24,24,,,,,,,,
f7e38c4bb6a641488046c3aeca2301d6_DNE_0_v2,00c703e1-7e3f-4c39-8987-c1ee5fb943c8-1771934962_Feb_24__2026__12_10_55_PM.log,3.6.1,aborted,,end,3,6,6,,,,,,,,
