FaceKomError Table

Code	Description
0	ParseError
1	PassportError
2	urlError
3	networkError
4	publicKeyError
5	appNotCompatible
6	settingsError
7	socketIOError
8	serverError
9	noDataError
10	validationFailed
11	authError
12	noAck
13	feedbackError
14	unknown
15	validationError
16	closed
17	videoJoinError
18	waitingQueueJoinError
19	weakSelfError
20	chatMessageError
21	callbackError
22	audioMuteError
23	validationSubmitCancelError
24	validationSubmitError
25	hangUpError
26	initWebRTCError
27	screenshotError
28	customerModificationError
29	disconnectError
30	reconnectionError
31	alreadyAuthorized
32	alreadyHasRoom
33	consentStepMismath
34	customerNotFound
35	generalError
36	hasNoSelfServiceRoom
37	invalidConsentStep
38	invalidIDType
39	invalidImageFormat
40	invalidInput
41	invalidPhoneNumber
42	invalidToken
43	notAuthorized
44	somethingWentWorng
45	stepMismatch
46	timeOut
47	incompatible
48	integrityTokenError
